id;tipoResiduo;direccion;longitud;latitud;nivelLlenado;alerta;fecha
1524825;resto;Mercado San Miguel (Frente Taste Gallery);-3.70936069360822;40.4153829184771;0;;2021-08-02T05:48:35.000+0200
1524834;resto;Gran Vía 23;-3.70178566501932;40.4199515339296;4;;2021-08-02T05:55:03.000+0200
1524835;envases;Gran Vía 56 CV San Bernardo;-3.70782223158647;40.4216029515078;0;;2021-08-02T05:49:21.000+0200
1524833;resto;Pza. Juan Goytisolo Frente Dr Drumen;-3.69327747515576;40.4087447534056;4;;2021-08-02T06:59:13.000+0200
1524838;resto;Preciados Stradivarius;-3.70461056124024;40.4180137295615;2;;2021-08-02T06:37:06.000+0200
1524842;envases;Avenida Ciudad De Barcelona(Salida Cercanía Frente Al Monumento);-3.6885731389511;40.4064082822192;2;;2021-08-02T05:20:55.000+0200
1524849;resto;Plaza Tirso De Molina;-3.7050708292284;40.4123622742961;2;;2021-08-02T05:54:41.000+0200
1524847;resto;Fernández De Los Ríos CV Isaac Peral (Junta Distrito);-3.71857654098431;40.435502753464;4;;2021-08-02T06:33:22.000+0200
1524854;resto;Plaza Pedro Zerolo Frente N°2 Fla. 18;-3.69963232697872;40.4210823649322;2;;2021-08-02T05:58:18.000+0200
1524848;resto;Plaza Canal De Isabel II 3 FTE. Fla.7;-3.70169707509734;40.4579083832633;0;;2021-08-02T05:59:35.000+0200
